"RespondentID","ChoiceSet","Alt","WaitTime","UrbanRural","Trust","VaccineOrigin","Efficacy","Choice"
1,1,"A",3,0,3,0,0.7,0
1,1,"B",2,0,3,1,0.95,1
1,1,"C",0,0,3,0,0,0
1,2,"A",2,0,3,1,0.7,0
1,2,"B",3,0,3,1,0.9,1
1,2,"C",0,0,3,0,0,0
1,3,"A",1,0,3,0,0.7,0
1,3,"B",2,0,3,0,0.5,1
1,3,"C",0,0,3,0,0,0
1,4,"A",3,0,3,0,0.9,1
1,4,"B",2,0,3,0,0.9,0
1,4,"C",0,0,3,0,0,0
1,5,"A",2,0,3,1,0.9,1
1,5,"B",3,0,3,1,0.5,0
1,5,"C",0,0,3,0,0,0
1,6,"A",3,0,3,0,0.7,1
1,6,"B",3,0,3,1,0.5,0
1,6,"C",0,0,3,0,0,0
2,1,"A",1,1,4,0,0.5,0
2,1,"B",3,1,4,1,0.9,1
2,1,"C",0,1,4,0,0,0
2,2,"A",2,1,4,1,0.9,1
2,2,"B",2,1,4,1,0.95,0
2,2,"C",0,1,4,0,0,0
2,3,"A",3,1,4,0,0.5,0
2,3,"B",2,1,4,1,0.95,1
2,3,"C",0,1,4,0,0,0
2,4,"A",2,1,4,1,0.7,1
2,4,"B",2,1,4,1,0.95,0
2,4,"C",0,1,4,0,0,0
2,5,"A",2,1,4,0,0.7,0
2,5,"B",6,1,4,1,0.9,0
2,5,"C",0,1,4,0,0,1
2,6,"A",6,1,4,1,0.9,0
2,6,"B",3,1,4,1,0.7,1
2,6,"C",0,1,4,0,0,0
3,1,"A",1,1,3,0,0.5,0
3,1,"B",1,1,3,0,0.5,1
3,1,"C",0,1,3,0,0,0
3,2,"A",3,1,3,0,0.5,0
3,2,"B",3,1,3,1,0.5,0
3,2,"C",0,1,3,0,0,1
3,3,"A",3,1,3,0,0.5,0
3,3,"B",6,1,3,1,0.7,1
3,3,"C",0,1,3,0,0,0
3,4,"A",1,1,3,0,0.95,1
3,4,"B",2,1,3,0,0.5,0
3,4,"C",0,1,3,0,0,0
3,5,"A",1,1,3,1,0.9,1
3,5,"B",6,1,3,0,0.5,0
3,5,"C",0,1,3,0,0,0
3,6,"A",3,1,3,0,0.95,1
3,6,"B",2,1,3,1,0.95,0
3,6,"C",0,1,3,0,0,0
4,1,"A",3,1,3,1,0.9,1
4,1,"B",1,1,3,1,0.7,0
4,1,"C",0,1,3,0,0,0
4,2,"A",6,1,3,1,0.95,1
4,2,"B",2,1,3,1,0.7,0
4,2,"C",0,1,3,0,0,0
4,3,"A",2,1,3,1,0.9,1
4,3,"B",6,1,3,1,0.95,0
4,3,"C",0,1,3,0,0,0
4,4,"A",6,1,3,0,0.7,0
4,4,"B",6,1,3,1,0.9,1
4,4,"C",0,1,3,0,0,0
4,5,"A",1,1,3,1,0.5,1
4,5,"B",6,1,3,0,0.95,0
4,5,"C",0,1,3,0,0,0
4,6,"A",3,1,3,0,0.7,0
4,6,"B",1,1,3,1,0.95,1
4,6,"C",0,1,3,0,0,0
5,1,"A",6,1,5,1,0.7,1
5,1,"B",3,1,5,1,0.5,0
5,1,"C",0,1,5,0,0,0
5,2,"A",2,1,5,1,0.7,0
5,2,"B",2,1,5,0,0.95,1
5,2,"C",0,1,5,0,0,0
5,3,"A",2,1,5,1,0.7,0
5,3,"B",2,1,5,0,0.7,1
5,3,"C",0,1,5,0,0,0
5,4,"A",6,1,5,1,0.9,1
5,4,"B",3,1,5,0,0.9,0
5,4,"C",0,1,5,0,0,0
5,5,"A",1,1,5,0,0.7,0
5,5,"B",2,1,5,1,0.9,1
5,5,"C",0,1,5,0,0,0
5,6,"A",6,1,5,0,0.9,1
5,6,"B",6,1,5,0,0.7,0
5,6,"C",0,1,5,0,0,0
6,1,"A",1,1,3,1,0.5,0
6,1,"B",2,1,3,1,0.7,1
6,1,"C",0,1,3,0,0,0
6,2,"A",6,1,3,0,0.7,0
6,2,"B",1,1,3,0,0.95,1
6,2,"C",0,1,3,0,0,0
6,3,"A",1,1,3,0,0.7,1
6,3,"B",2,1,3,0,0.95,0
6,3,"C",0,1,3,0,0,0
6,4,"A",1,1,3,0,0.95,1
6,4,"B",2,1,3,1,0.7,0
6,4,"C",0,1,3,0,0,0
6,5,"A",3,1,3,0,0.95,1
6,5,"B",6,1,3,1,0.7,0
6,5,"C",0,1,3,0,0,0
6,6,"A",3,1,3,0,0.7,0
6,6,"B",3,1,3,0,0.7,0
6,6,"C",0,1,3,0,0,1
7,1,"A",1,1,3,1,0.5,0
7,1,"B",2,1,3,1,0.95,1
7,1,"C",0,1,3,0,0,0
7,2,"A",3,1,3,0,0.5,0
7,2,"B",2,1,3,1,0.95,1
7,2,"C",0,1,3,0,0,0
7,3,"A",2,1,3,0,0.95,1
7,3,"B",6,1,3,0,0.5,0
7,3,"C",0,1,3,0,0,0
7,4,"A",6,1,3,0,0.5,1
7,4,"B",3,1,3,1,0.9,0
7,4,"C",0,1,3,0,0,0
7,5,"A",1,1,3,0,0.95,0
7,5,"B",2,1,3,0,0.9,1
7,5,"C",0,1,3,0,0,0
7,6,"A",2,1,3,1,0.95,1
7,6,"B",6,1,3,0,0.5,0
7,6,"C",0,1,3,0,0,0
8,1,"A",3,0,5,0,0.95,1
8,1,"B",1,0,5,1,0.5,0
8,1,"C",0,0,5,0,0,0
8,2,"A",1,0,5,0,0.95,0
8,2,"B",3,0,5,1,0.5,1
8,2,"C",0,0,5,0,0,0
8,3,"A",3,0,5,1,0.95,1
8,3,"B",2,0,5,1,0.5,0
8,3,"C",0,0,5,0,0,0
8,4,"A",3,0,5,1,0.95,1
8,4,"B",2,0,5,0,0.5,0
8,4,"C",0,0,5,0,0,0
8,5,"A",3,0,5,1,0.9,0
8,5,"B",1,0,5,1,0.95,1
8,5,"C",0,0,5,0,0,0
8,6,"A",6,0,5,0,0.7,0
8,6,"B",3,0,5,1,0.7,1
8,6,"C",0,0,5,0,0,0
9,1,"A",1,1,3,1,0.7,1
9,1,"B",3,1,3,0,0.9,0
9,1,"C",0,1,3,0,0,0
9,2,"A",2,1,3,0,0.5,0
9,2,"B",1,1,3,1,0.95,1
9,2,"C",0,1,3,0,0,0
9,3,"A",6,1,3,1,0.7,0
9,3,"B",6,1,3,1,0.95,1
9,3,"C",0,1,3,0,0,0
9,4,"A",2,1,3,0,0.5,0
9,4,"B",1,1,3,0,0.7,1
9,4,"C",0,1,3,0,0,0
9,5,"A",3,1,3,0,0.7,0
9,5,"B",2,1,3,0,0.9,1
9,5,"C",0,1,3,0,0,0
9,6,"A",6,1,3,1,0.5,0
9,6,"B",3,1,3,0,0.5,1
9,6,"C",0,1,3,0,0,0
10,1,"A",2,1,3,0,0.7,1
10,1,"B",2,1,3,0,0.5,0
10,1,"C",0,1,3,0,0,0
10,2,"A",2,1,3,0,0.5,0
10,2,"B",1,1,3,1,0.5,1
10,2,"C",0,1,3,0,0,0
10,3,"A",3,1,3,1,0.7,0
10,3,"B",2,1,3,0,0.95,1
10,3,"C",0,1,3,0,0,0
10,4,"A",3,1,3,1,0.7,0
10,4,"B",6,1,3,0,0.7,1
10,4,"C",0,1,3,0,0,0
10,5,"A",1,1,3,0,0.9,1
10,5,"B",1,1,3,1,0.95,0
10,5,"C",0,1,3,0,0,0
10,6,"A",1,1,3,0,0.95,1
10,6,"B",3,1,3,1,0.9,0
10,6,"C",0,1,3,0,0,0
11,1,"A",2,1,4,1,0.9,0
11,1,"B",1,1,4,0,0.5,1
11,1,"C",0,1,4,0,0,0
11,2,"A",2,1,4,0,0.9,1
11,2,"B",2,1,4,1,0.9,0
11,2,"C",0,1,4,0,0,0
11,3,"A",2,1,4,1,0.7,0
11,3,"B",2,1,4,0,0.95,1
11,3,"C",0,1,4,0,0,0
11,4,"A",1,1,4,1,0.9,0
11,4,"B",1,1,4,1,0.9,1
11,4,"C",0,1,4,0,0,0
11,5,"A",1,1,4,1,0.95,1
11,5,"B",2,1,4,1,0.9,0
11,5,"C",0,1,4,0,0,0
11,6,"A",1,1,4,1,0.95,1
11,6,"B",3,1,4,1,0.9,0
11,6,"C",0,1,4,0,0,0
12,1,"A",3,0,4,0,0.7,0
12,1,"B",1,0,4,0,0.9,1
12,1,"C",0,0,4,0,0,0
12,2,"A",2,0,4,0,0.5,0
12,2,"B",1,0,4,1,0.5,1
12,2,"C",0,0,4,0,0,0
12,3,"A",6,0,4,1,0.5,0
12,3,"B",3,0,4,0,0.7,0
12,3,"C",0,0,4,0,0,1
12,4,"A",3,0,4,1,0.95,0
12,4,"B",2,0,4,0,0.95,1
12,4,"C",0,0,4,0,0,0
12,5,"A",3,0,4,1,0.95,0
12,5,"B",2,0,4,0,0.95,1
12,5,"C",0,0,4,0,0,0
12,6,"A",6,0,4,1,0.7,0
12,6,"B",3,0,4,0,0.5,1
12,6,"C",0,0,4,0,0,0
13,1,"A",1,1,3,0,0.9,1
13,1,"B",1,1,3,0,0.9,0
13,1,"C",0,1,3,0,0,0
13,2,"A",1,1,3,1,0.5,0
13,2,"B",6,1,3,0,0.95,1
13,2,"C",0,1,3,0,0,0
13,3,"A",2,1,3,0,0.7,0
13,3,"B",3,1,3,0,0.95,1
13,3,"C",0,1,3,0,0,0
13,4,"A",3,1,3,0,0.5,0
13,4,"B",3,1,3,0,0.95,1
13,4,"C",0,1,3,0,0,0
13,5,"A",1,1,3,0,0.5,0
13,5,"B",1,1,3,1,0.95,1
13,5,"C",0,1,3,0,0,0
13,6,"A",6,1,3,1,0.5,0
13,6,"B",1,1,3,0,0.9,1
13,6,"C",0,1,3,0,0,0
14,1,"A",2,0,3,1,0.7,0
14,1,"B",1,0,3,0,0.95,1
14,1,"C",0,0,3,0,0,0
14,2,"A",2,0,3,0,0.5,0
14,2,"B",2,0,3,1,0.9,1
14,2,"C",0,0,3,0,0,0
